Cell Line Name,OTS964_0.004572 uM,OTS964_0.01372 uM,OTS964_0.04115 uM,OTS964_0.1235 uM,OTS964_0.3704 uM,OTS964_1.111 uM,OTS964_10.0 uM,OTS964_3.333 uM
A388_SKIN,0.097687894,-0.296631562,-0.65639293,-3.246146729,-2.609204777,-3.404776906,-4.031073145,-2.745708804
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.089178687,-0.12508286,-0.068222168,-2.25001281,-2.976366911,-3.332919629,-3.450103311,-3.664023678
A427_LUNG,0.142238915,-0.040175961,-0.460172254,-3.143084909,-3.531426534,-3.548416153,-4.098006799,-4.661850295
A498_KIDNEY,0.267637256,-0.121473697,-0.455702536,-3.214483365,-3.575584513,-3.237809635,-3.801370361,-4.189226401
A549_LUNG,-0.015946342,0.06385374,0.261642904,-2.265463714,-3.054213619,-4.201600543,-3.460167128,-3.269021076
A673_BONE,-0.309589779,-0.017624159,-0.365890662,-3.450367283,-3.028460318,-3.947809064,-3.891055355,-3.512180558
A704_KIDNEY,-0.29187064,0.032692272,0.182596462,-0.86876127,-3.39552771,-3.174830349,-4.206528631,-2.991736997
ABC1_LUNG,-0.584525847,0.059908862,-0.115432272,-0.488927593,-3.822921028,-4.161103755,-4.026550492,-4.194643006
ACCMESO1_PLEURA,0.314874782,-1.067983701,-0.232072947,-2.232640777,-3.932731811,-4.130468432,-3.611136963,-4.087357189
ACHN_KIDNEY,0.264984623,-0.016780063,0.027798832,-1.666596984,-3.493678211,-3.956765018,-4.412630276,-3.964361249
AGS_STOMACH,0.125704301,0.022326346,-0.439766183,-1.579926352,-4.639547222,-4.061821149,-4.112398779,-2.784652254
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.342094029,0.04767764,0.162874196,-1.094662741,-1.947492322,-2.83435447,-2.65191131,-2.121566578
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.169908795,-0.320144594,-1.794893497,-2.692264832,-4.854644667,-4.226494385,-4.041091032,-4.106146276
AN3CA_ENDOMETRIUM,0.147949984,-0.250823471,-2.40548404,-4.553731939,-3.473858969,-3.743490602,-3.263780136,-3.783470191
ANGMCSS_CENTRAL_NERVOUS_SYSTEM,-0.297158265,-0.052806996,-0.003686189,-0.852458568,-1.892743024,-4.304118883,-3.605565312,-3.3949972
ASPC1_PANCREAS,0.143935491,0.165353815,-0.74527321,-1.699156877,-3.350974002,-3.836081067,-4.412196032,-3.444540549
BC3C_URINARY_TRACT,0.050125063,0.352230741,-1.280525831,-3.17129643,-3.745838331,-3.67255378,-3.810911107,-2.772319482
BCPAP_THYROID,0.254021731,0.206573722,-0.097775566,-1.549662168,-3.45260108,-4.19089579,-3.888308384,-3.7011698
BECKER_CENTRAL_NERVOUS_SYSTEM,-0.202032878,0.134343133,0.117092618,-1.876248822,-3.75704973,-4.218386093,-4.63113721,-3.538825573
BEN_LUNG,0.336485791,0.081659085,0.318803017,-1.248296578,-3.378552353,-4.427431724,-4.498575457,-3.723066285
BFTC905_URINARY_TRACT,0.073783812,-0.182156043,-0.536781611,-2.620188039,-3.839715291,-3.386571082,-4.781962387,-3.095025115
BFTC909_KIDNEY,0.228454161,-0.159769731,-0.011947768,-1.583777629,-3.317867848,-3.417847119,-3.48381927,-3.527603322
BHT101_THYROID,-0.023307487,0.353678696,0.19192207,-2.964948335,-3.756216646,-3.746733393,-3.677568578,-3.290865539
BHY_UPPER_AERODIGESTIVE_TRACT,-0.296951909,0.042562,-0.036648701,-2.030259261,-3.879681609,-3.731554588,-4.058449425,-4.124363043
BICR16_UPPER_AERODIGESTIVE_TRACT,-0.335098968,-0.255796968,-1.685684451,-3.561761767,-2.887936138,-5.483200623,-3.969754439,-4.367773145
BICR18_UPPER_AERODIGESTIVE_TRACT,-0.222766017,0.113592361,-0.10332296,-1.250790513,-3.166363921,-3.139501928,-3.487318419,-3.950116985
BICR22_UPPER_AERODIGESTIVE_TRACT,-0.107096632,0.04896067,-0.255039457,-2.292275242,-3.705410246,-4.003910254,-4.0468461,-4.484879689
BICR31_UPPER_AERODIGESTIVE_TRACT,0.096118334,-0.227940618,0.034819586,-3.242470242,-3.941749906,-3.77751003,-5.314032291,-4.106709776
BICR56_UPPER_AERODIGESTIVE_TRACT,0.083219302,-0.577225959,0.235406047,-1.590531805,-4.188960229,-2.890092152,-4.127573899,-3.733075496
BICR6_UPPER_AERODIGESTIVE_TRACT,-0.059156317,0.360914823,-0.133234338,-4.275217716,-3.893981174,-3.746260355,-3.75080367,-3.69196148
BICR78_UPPER_AERODIGESTIVE_TRACT,0.02388452,-0.000173039,0.003357462,-2.733468754,-4.090583453,-3.962681964,-3.853918179,-4.514942078
BL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.151687826,-0.049701141,-0.114349287,-2.464104332,-2.794340868,-3.200744915,-3.295826716,-3.603586701
BLUE1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.16981497,0.332308125,0.061489388,-3.996924979,-3.708649053,-4.574977142,-4.273559061,-3.922088054
BOKU_CERVIX,0.06220678,0.20964952,-0.05456634,-0.627047035,-2.667526409,-4.11510949,-4.659824204,-4.071114353
BONNA12_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.49023416,-0.162567777,-0.778085904,-2.973373171,-3.039876244,-4.267026851,-3.805005804,-3.304573485
BT12_SOFT_TISSUE,0.114125736,0.52390117,0.038254126,-2.347726592,-4.205393127,-4.319956922,-3.882388032,-4.338774193
BT16_SOFT_TISSUE,1.196148121,-0.608032097,-0.09865594,-2.087220631,-3.016169548,-3.441098758,-3.57671075,-2.895815407
BT474_BREAST,-0.015112594,-0.09768341,0.259365772,-0.996630832,-1.915552142,-3.318525249,-3.171231413,-2.765885886
BT549_BREAST,-0.037672437,0.631333523,-1.613661218,-1.27958976,-2.766351858,-3.620387101,-3.31927479,-3.499261015
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.307658645,0.461911447,0.018911045,-2.665294537,-3.486367348,-2.154058051,-3.718738387,-3.003562337
BXPC3_PANCREAS,-0.314412637,-0.67884407,-0.39756164,-2.849287329,-3.217740433,-2.101560061,-3.133071214,-3.74449565
C32_SKIN,-0.227663183,-0.271107851,-0.656727354,-3.145886183,-4.378015638,-3.834726653,-4.273048954,-4.954114721
C33A_CERVIX,0.18000267,0.068690895,-0.198869193,-3.74478274,-3.266327753,-2.812568577,-3.837836665,-3.020828312
C4I_CERVIX,0.208052748,0.083160152,0.042433092,-3.17062277,-3.402259432,-3.973332837,-4.310297871,-3.967474705
C80_LARGE_INTESTINE,-0.374174245,-0.216692538,-0.387243893,-2.203596422,-3.907571517,-3.972471741,-3.896165456,-3.357846065
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.059467918,-0.011087988,-0.525730867,-3.15364479,-4.195381217,-4.046172875,-4.508208538,-4.450703621
CADOES1_BONE,0.173460092,-0.179334394,-0.099534195,-2.752775401,-3.114286147,-3.637569105,-3.742106432,-3.758697879
CAKI1_KIDNEY,-0.233133329,0.192442349,-0.013821055,-1.178240028,-3.722016422,-3.649292327,-3.948317981,-3.249522255
CAL120_BREAST,-0.369387981,-0.059350188,-0.203872321,-2.645865484,-3.344610061,-3.291217318,-3.31255106,-3.838585361
CAL12T_LUNG,0.255871233,0.113665984,-0.693458525,-2.999932376,-3.665240179,-3.733264798,-3.454994439,-2.686472667
CAL148_BREAST,0.029299382,-0.278615783,-0.1320855,-0.803022823,-1.601391701,-3.165119577,-3.533538579,-2.902454384
CAL27_UPPER_AERODIGESTIVE_TRACT,0.183993764,-0.133609817,-0.278520968,-2.14531661,-3.166104709,-4.152301364,-4.146029511,-4.286925203
CAL29_URINARY_TRACT,0.277664701,0.144514741,0.158451092,-1.627017981,-4.188541844,-3.696112611,-4.805780452,-3.937591242
CAL33_UPPER_AERODIGESTIVE_TRACT,-0.07969872,0.201905605,-0.044001447,-3.589928748,-4.326826408,-4.187373005,-4.158329333,-4.416155194
CAL51_BREAST,0.225531302,0.106797324,-0.723519547,-2.759428008,-3.848395619,-3.835399308,-3.764069278,-3.589870926
CAL54_KIDNEY,0.501216776,0.561185955,0.510687785,-0.301711394,-2.736260897,-3.260753634,-2.836506226,-4.984365005
CAL62_THYROID,0.139142869,-0.23323637,-0.081863574,-3.150979996,-3.668634714,-3.699283729,-3.685503613,-3.494838835
CAL72_BONE,0.269914266,-0.343196826,-0.023498849,-1.040212452,-2.783831586,-2.985746294,-3.345095182,-3.914811382
CAL78_BONE,0.040719435,-0.532570479,-0.379408221,-0.461714082,-3.528517981,-4.173488886,-3.830659655,-4.056182972
CALU1_LUNG,0.128495341,-0.065451743,-0.337551724,-1.480142845,-2.731393178,-3.12011866,-3.054474241,-2.682314678
CALU6_LUNG,-0.208132514,-0.082337668,-0.508842156,-3.840328292,-2.97119319,-3.32145356,-4.096184528,-3.574856495
CAMA1_BREAST,-0.389886477,-0.046403428,-0.489919355,-1.157172344,-2.857547837,-3.327768299,-2.867784698,-3.542275913
CAOV3_OVARY,-0.645192764,-0.38082157,0.125333871,-3.782264898,-2.501029836,-3.062528999,-4.357493004,-4.04867971
CAPAN2_PANCREAS,0.043028952,-0.234284425,-1.005807192,-2.9494481,-3.093549612,-3.976273336,-4.052355821,-3.552687594
CAS1_CENTRAL_NERVOUS_SYSTEM,0.211493931,-0.116181166,-0.554562557,-2.412710289,-3.008517588,-3.56718034,-4.459698936,-4.274222675
CASKI_CERVIX,0.14246986,-0.329070985,-0.602920463,-1.236527265,-3.298245012,-4.068313699,-4.330610749,-5.022471626
CBAGPN_BONE,-0.084160413,-0.206194123,-1.359057006,-3.427747242,-3.67062714,-3.520885274,-4.221081348,-4.552059573
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,0.472607177,-0.165826905,0.071768677,-2.000921294,-2.701467137,-3.543635582,-2.988922112,-3.275020593
CCK81_LARGE_INTESTINE,0.022582799,-0.682442203,0.198455631,-1.420185458,-3.864256865,-3.282766993,-3.92427616,-4.119917244
CCLFPEDS0003T_SOFT_TISSUE,0.623194724,-0.211334768,0.046486256,-1.873970612,-2.807696361,-2.875165533,-5.33725849,-3.405789161
CCLP1_BILIARY_TRACT,0.134045905,-0.351314443,-0.057571796,-1.636952085,-3.285755964,-3.910973197,-3.305275989,-3.876985451
CCSW1_BILIARY_TRACT,-0.174313467,-0.227113689,0.250668601,-2.488575499,-3.920283747,-3.328942383,-3.616710004,-4.082638229
CFPAC1_PANCREAS,-0.181561374,-0.005841237,0.264571753,-2.154555095,-3.152031117,-3.762576754,-3.428340325,-2.949456148
CH157MN_CENTRAL_NERVOUS_SYSTEM,-0.24008227,0.143588692,0.101983462,-2.872126239,-3.242322376,-3.532301708,-3.072376336,-3.097548639
CHAGOK1_LUNG,-0.062407552,-0.21368596,-0.874097142,-2.708455595,-4.477363581,-4.108626213,-3.786288749,-3.022496398
CHL1_SKIN,0.198662981,-0.025576354,-0.347430774,-1.701644746,-3.690934253,-3.836054069,-4.286295479,-4.265994967
CHLA06ATRT_SOFT_TISSUE,-0.092415192,0.102097228,0.126176049,-2.129127017,-4.191529182,-3.754830277,-3.803116266,-3.972484525
CHLA10_BONE,-0.333643428,-0.745134853,-0.750106317,-2.535557553,-4.299473923,-4.339524709,-3.852406531,-3.437269029
CHLA15_AUTONOMIC_GANGLIA,0.40528483,-0.291918263,-0.17446899,-3.025949764,-3.196686631,-3.311744784,-3.772478273,-2.772772416
CHLA200_CENTRAL_NERVOUS_SYSTEM,-0.200146891,-0.739305896,-0.735097198,-3.225591817,-3.281606868,-3.981502147,-3.048458533,-3.794180156
CHLA57_BONE,-0.08061308,-0.842690401,-0.577802047,-2.415641111,-2.91911858,-2.791566753,-3.609594807,-4.100815559
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.206958777,-0.584764019,-0.619559842,-1.43314275,-2.764952888,-3.697549032,-3.102990932,-3.138420582
CJM_SKIN,-0.003887175,0.08263494,0.042540474,-1.362297459,-3.517745034,-3.315090983,-4.051230516,-3.628411516
CL11_LARGE_INTESTINE,-0.231315417,-0.675135396,-0.312966235,-3.270838513,-3.964616403,-4.292513587,-4.248979726,-3.782961659
CL34_LARGE_INTESTINE,-0.486485795,-0.553976128,0.479070361,-1.703660224,-3.600134622,-3.786107376,-3.322780897,-4.244613197
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.152098092,-0.243318697,0.064444209,-2.682876696,-4.168582679,-3.733116014,-3.596827084,-3.893738459
COGAR359_SOFT_TISSUE,-0.258634602,0.303889446,-0.728947972,-0.784689291,-2.556643012,-2.832217054,-2.091600398,-3.127806487
COLO320_LARGE_INTESTINE,0.208588023,-0.625526587,-1.178744136,-4.668908178,-3.465883604,-3.627124169,-4.018521499,-3.900879
COLO668_LUNG,-0.214637039,-0.153123655,-0.806427632,-3.023347148,-2.79151386,-3.668765117,-3.561922493,-3.605384498
COLO679_SKIN,0.311629945,-0.298844875,-0.201769782,-2.233541236,-3.389842776,-4.247696184,-4.368370537,-3.97360993
COLO680N_OESOPHAGUS,-0.146482991,0.085440079,-0.042570972,-2.372696693,-3.590231739,-3.798381348,-4.52319395,-3.761867704
COLO741_SKIN,0.269745645,-0.564812309,0.192461396,-1.018123564,-3.085432357,-3.658614939,-3.834610137,-4.617165138
COLO783_SKIN,-0.043791261,-0.078441066,0.018776227,-3.465768054,-4.077060777,-3.7565441,-3.903802745,-3.758321954
COLO792_SKIN,0.646001065,-0.993520691,-0.287056258,-1.525227346,-3.520062911,-3.23819354,-4.160683908,-3.430962098
COLO800_SKIN,0.030614321,0.175062824,0.056604228,-1.351183699,-3.687742835,-4.229452518,-4.226813836,-3.702612625
CORL105_LUNG,-0.25540395,-0.546974168,-0.733972764,-1.729641675,-2.860284265,-2.357121764,-2.869334095,-2.838267393
CORL23_LUNG,0.155500618,0.183582258,-0.056789305,-2.581737729,-3.772311081,-3.783142045,-3.354116477,-3.829706098
CORL88_LUNG,-0.306695475,-0.713414054,0.027315674,-3.934687751,-3.949148274,-3.923723519,-4.016629049,-4.296531143
COV318_OVARY,-0.107552876,0.128032057,-0.087465137,-1.568598079,-2.863346607,-3.850107796,-3.394184224,-3.105754635
COV362_OVARY,0.086412891,0.297844272,0.290032619,-1.032679106,-2.819007386,-3.781604187,-3.688497167,-3.427058276
COV434_OVARY,0.088949808,0.355144612,-0.947968033,-3.624399329,-2.656406982,-2.708824867,-3.491473955,-3.437656998
COV644_OVARY,-0.09338831,-0.109325866,0.40490854,-1.728945739,-4.047497963,-4.810924084,-4.368762956,-4.163897328
CW2_LARGE_INTESTINE,-0.210066215,-0.216265562,0.703122243,-0.554745071,-3.229171294,-4.126153205,-3.869344967,-5.163226681
CW9019_SOFT_TISSUE,-0.027099066,-0.22486964,0.170215093,-1.491265881,-4.010960637,-4.092896714,-4.352196027,-4.459662114
DANG_PANCREAS,-0.410617696,-0.586051479,-0.259784391,-2.950161307,-3.423851586,-4.08367535,-4.954642799,-4.167752022
DAOY_CENTRAL_NERVOUS_SYSTEM,-0.15590086,-0.047267635,-0.15591125,-1.43915222,-3.786847277,-4.165925923,-4.351765702,-4.287109334
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,0.321645267,0.194098629,0.153802783,-1.516701963,-3.308729935,-3.431986538,-4.196397187,-3.654341738
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.311545648,-0.126957763,-0.368207779,-2.878051213,-3.421280765,-3.950975139,-3.656429135,-3.315950362
DETROIT562_UPPER_AERODIGESTIVE_TRACT,0.082323336,-0.246376955,0.022161627,-3.899453782,-3.815854063,-4.309716891,-3.761547387,-4.236490558
DKMG_CENTRAL_NERVOUS_SYSTEM,-0.188429546,-0.448255645,-0.045674921,-0.458437637,-3.926627865,-4.013032964,-3.027227663,-3.962029189
DL_SOFT_TISSUE,0.653216685,0.589795539,0.058500563,-1.7239302,-1.970042323,-2.495872911,-2.712043817,-2.584405379
DMS273_LUNG,-0.106477327,0.212529008,0.006607673,-2.738826972,-3.14490142,-3.074419201,-3.675640304,-4.020566612
DMS53_LUNG,0.04444984,-0.095245357,-0.085201059,-0.500170076,-3.179996977,-4.098417198,-4.467566293,-3.449140888
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.321818397,-0.17040373,-0.366298669,-1.71571536,-2.648595283,-3.025416229,-4.09641141,-3.747614608
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.317936487,-0.346297704,-0.393600854,-3.871201247,-5.076795827,-5.222040024,-4.606196813,-4.524238798
DOTC24510_CERVIX,-0.9165394,-0.30490781,-0.29900661,-3.152428784,-4.006039427,-4.204686669,-4.309510232,-4.793165488
DU145_PROSTATE,0.14432765,0.136835166,0.227080842,-1.86919002,-3.489677349,-4.097475734,-4.166369962,-3.800404226
DV90_LUNG,-0.270788473,0.147568543,-0.016087604,-1.549502898,-3.688955812,-3.572720219,-3.489907164,-3.390884393
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.367314348,-0.226276814,-0.040552108,-2.480937208,-3.078548928,-3.700441377,-3.551696143,-4.077385178
EBC1_LUNG,0.18856048,-0.108999643,0.175746759,-1.768547026,-2.743812502,-3.05547669,-3.010693969,-3.151207648
ECC2_BILIARY_TRACT,-0.020034845,0.062256426,-0.383574125,-1.746353048,-3.104949661,-3.321081269,-3.24264457,-3.14321628
ECGI10_OESOPHAGUS,0.011815464,-0.361579989,-1.507734163,-4.37646404,-4.240455871,-4.712945732,-3.327737636,-4.43314409
EFE184_ENDOMETRIUM,0.053224893,0.393572953,-0.186073458,-2.653326421,-3.041833162,-4.131715287,-4.460780288,-4.532139324
EFM19_BREAST,-0.26126758,-0.188577755,-0.317876773,-2.894370012,-2.732282855,-2.975686343,-3.335115685,-3.58003243
EFM192A_BREAST,0.099371919,-0.083788318,0.092010172,-1.317986099,-2.191204661,-3.820218791,-3.350535279,-3.628491319
EFO21_OVARY,-0.083875038,-0.100900296,-0.030731502,-1.917104209,-2.134152167,-2.587233267,-2.364869952,-2.138325902
EFO27_OVARY,-0.026037317,-0.080595101,-0.128847745,-3.329152438,-3.624145935,-3.254545858,-3.328439657,-2.977953161
EGI1_BILIARY_TRACT,0.101728295,0.061066802,-0.188545164,-2.114653508,-3.912360289,-3.863835604,-3.862763436,-3.775977411
EKVX_LUNG,0.303670395,0.121101541,0.023615433,-2.206810985,-3.416974722,-4.015562246,-4.17701356,-4.68483575
EMTOKA_ENDOMETRIUM,0.054412184,0.101149115,-0.283983577,-1.754878405,-3.584020786,-3.36491594,-3.392903425,-3.606337756
EN_ENDOMETRIUM,0.374802893,-0.713737564,0.200108673,-1.208904966,-3.187575361,-3.328621378,-2.460227199,-3.354833091
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.194812566,0.012364285,-0.113432743,-4.318725907,-4.257550166,-4.469427787,-5.174221114,-4.36744716
ES2_OVARY,0.036054539,-0.120614904,-0.248758791,-3.574802422,-2.545968284,-3.397867456,-2.869523231,-3.061678257
ESS1_ENDOMETRIUM,-0.174594666,-0.165722897,0.469948724,-1.971729722,-3.189099523,-3.478299246,-3.042708948,-4.354608128
EW8_BONE,0.461002908,-0.293499448,-0.832510541,-3.465790417,-3.504306775,-4.029974264,-3.8233562,-4.059961114
EWS502_BONE,-0.297905549,-0.394550228,-0.806926096,-2.212411837,-3.000099487,-3.410223937,-3.823027341,-3.693089718
FADU_UPPER_AERODIGESTIVE_TRACT,0.215175738,-0.287946291,-1.277315326,-3.814520838,-3.006767469,-3.21589829,-3.90830167,-4.459798086
FLO1_OESOPHAGUS,-0.149812423,0.101371654,0.090617679,-1.929388237,-3.483119429,-4.131333822,-3.646044995,-4.19714209
FTC133_THYROID,0.180992812,0.109154563,0.359905931,-0.757517418,-3.101354209,-3.705100784,-4.346431063,-3.687323842
FTC238_THYROID,-0.418043559,-0.680344182,-1.084474212,-2.061493127,-3.670224769,-2.919421182,-3.245943482,-3.086805768
G292CLONEA141B1_BONE,0.026637016,-0.723437628,-0.320559504,-2.214663365,-2.831680337,-2.905470366,-3.262148588,-2.885917168
G361_SKIN,-0.708021941,-0.380081941,0.110135232,-0.66821745,-3.600510426,-4.108154814,-4.201197525,-4.343130565
G401_SOFT_TISSUE,-0.423217884,-0.25253469,-0.407409968,-3.859074969,-3.452641526,-4.074704112,-3.787230964,-3.708256545
G402_SOFT_TISSUE,0.281992914,-0.108393557,-0.277836296,-2.616652835,-3.624558559,-3.620857341,-3.935030408,-3.748082513
G415_BILIARY_TRACT,0.238184878,0.11933511,-0.409281612,-2.865499228,-2.611822802,-3.078254751,-3.501217642,-2.665742946
GAMG_CENTRAL_NERVOUS_SYSTEM,-0.225008415,-0.291634014,0.060283372,-1.405147588,-3.890686311,-4.111381399,-4.070212553,-4.003852041
GB1_CENTRAL_NERVOUS_SYSTEM,-0.225954669,-0.90602861,-0.47481355,-1.508615059,-2.260557694,-2.124575156,-2.26766359,-2.739489663
GB2_BILIARY_TRACT,0.101651445,-0.22681314,0.710286917,-1.176389594,-4.110393498,-4.027762189,-4.437436535,-4.370448127
GCIY_STOMACH,-0.029558483,-0.098602014,-0.839609453,-2.959424286,-3.433629739,-3.676439829,-4.033702726,-3.38305361
GCT_SOFT_TISSUE,-0.225839774,0.278020651,0.066572654,-0.490953853,-3.636953313,-3.979813254,-4.463695359,-3.778263639
GI1_CENTRAL_NERVOUS_SYSTEM,-0.404466536,-0.000220006,-0.062630342,-3.048032077,-3.741524585,-3.947137156,-4.087390478,-4.073557763
GIMEN_AUTONOMIC_GANGLIA,0.087823053,-0.502776452,-0.052918236,-2.630500842,-4.229040209,-4.853814415,-3.921298179,-3.865127839
GOS3_CENTRAL_NERVOUS_SYSTEM,0.148481871,0.279454844,0.082505011,-1.425793622,-3.466152265,-3.661040231,-3.993723939,-3.431189587
GP2D_LARGE_INTESTINE,-0.292362507,0.081268159,0.093377009,-2.183805204,-3.184980025,-3.923059489,-3.847600576,-3.308693299
GP5D_LARGE_INTESTINE,0.292491318,-0.480537418,-0.008499773,-0.409409322,-2.416447007,-3.143957857,-2.779805941,-3.026865187
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.136864142,-0.25408329,0.012074651,-2.203269918,-2.876948241,-2.459047458,-2.283724576,-2.487218417
GSS_STOMACH,-0.165752312,0.389261433,-0.437494281,-2.659175152,-3.714780866,-4.517038723,-4.393865074,-3.577131103
GSU_STOMACH,-0.03204586,0.213224349,-0.090811575,-1.906948278,-3.709579793,-4.358442971,-4.145077402,-4.152278531
H103_UPPER_AERODIGESTIVE_TRACT,-0.200237871,-0.172274465,0.204854127,-1.801695427,-3.375340483,-4.479122871,-4.285630015,-4.741662051
H157_UPPER_AERODIGESTIVE_TRACT,0.453698126,-0.216813994,0.049379141,-0.565099517,-3.915859084,-3.48097613,-5.242498649,-5.061162211
H357_UPPER_AERODIGESTIVE_TRACT,0.056055689,-0.118910137,0.358936405,-1.592117864,-4.650472869,-4.205772862,-4.146196201,-4.24949738
H376_UPPER_AERODIGESTIVE_TRACT,-0.020873106,-0.117833839,-0.28701806,-2.470586215,-4.493400015,-3.235052382,-4.151091479,-3.772600165
H4_CENTRAL_NERVOUS_SYSTEM,-0.900509978,0.096673604,0.169804471,-1.269268946,-4.305728571,-3.959360915,-2.972973847,-4.334591347
H413_UPPER_AERODIGESTIVE_TRACT,0.016590342,-0.348819586,-0.112620529,-1.406001133,-3.045812916,-2.36814786,-3.9516627,-3.465301428
HA1E_KIDNEY,-0.086600659,-0.480795835,0.064585303,-1.47494529,-4.257861365,-2.937371643,-5.729751227,-5.771606541
