Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
8:143597835-143603224,TIGD5,8:143599542-143586728,IR,2,2,-,ENST00000504548,-20.35,0.00900504,0.00900504,45.7943925233645|48.314606741573,25.2873563218391|28.125,8_143599542_143586728_R_ENST00000504548_1,IR
12:6537352-6537583,GAPDH,12:6537352-6537390,A5SS,2,2,-,Ex.ENST00000229239,-22.27,0.007176,0.007176,84.2535787321063|81.5331010452962,59.3073593073593|61.9402985074627,12_6537352_6537583_S_Ex.ENST00000229239_1,A5SS
22:37851491-37870175,EIF3L,22:37855565-37855644,MES,2,2,-,ENST00000381683,-24.11,0.00691301,0.00691301,100|100,75.6302521008403|76.1538461538461,22_37851491_37870175_W_ENST00000381683_1,Exon Skipping
9:34613551-34613871,DCTN3,9:34614102-34613545,IR,2,2,-,ENST00000259632,-26.69,0.00302678,0.00302678,40|42.1052631578947,15.3846153846154|13.3333333333333,9_34614102_34613545_R_ENST00000259632_1,IR
9:34613551-34613871,DCTN3,9:34614102-34613544,IR,2,2,-,ENST00000259632,-26.69,0.00302678,0.00302678,40|42.1052631578947,15.3846153846154|13.3333333333333,9_34614102_34613544_R_ENST00000259632_1,IR
1:156742107-156743455,HDGF,1:156743879-156743170,IR,2,2,-,ENST00000357325,-27.17,0.00118422,0.00118422,69.8412698412698|68.6274509803922,41.6083916083916|42.5233644859813,1_156743879_156743170_R_ENST00000357325_1,IR
20:25290623-25292405,PYGB,20:25292377-25292406,A3SS,2,2,-,Ex.ENST00000216962,-27.89,0.00770143,0.00770143,28.2258064516129|27.5510204081633,0|0,20_25290623_25292405_S_Ex.ENST00000216962_1,A3SS
1:156742107-156743455,HDGF,1:156743879-156743155,IR,2,2,-,ENST00000357325,-30.79,0.00378635,0.00378635,86.1313868613139|87.8787878787879,54.9865229110512|57.439446366782,1_156743879_156743155_R_ENST00000357325_1,IR
19:18571879-18572607,UBA52,19:18571910-18572350,IR,2,2,-,ENST00000599256,-31.5,0.00291245,0.00291245,58.9235127478753|61.3003095975232,27.391874180865|29.8273155416013,19_18571910_18572350_R_ENST00000599256_1,IR
17:63830340-63830808,PSMC5,17:63830340-63830501,A5SS,2,2,-,Ex.ENST00000310144,-32.32,0.00475403,0.00475403,100|100,67.9245283018868|67.4418604651163,17_63830340_63830808_S_Ex.ENST00000310144_1,A5SS
19:49872970-49873302,AKT1S1,19:49878357-49872916,IR (overlapping region),2,2,-,ENST00000391830,-42.74,0.000171163,0.000171163,69.2307692307692|70,26.4705882352941|27.2727272727273,19_49878357_49872916_R_ENST00000391830_1,IR
13:49997032-49997763,TRIM13,13:49997132-49997666,IR (overlapping region),2,2,-,ENST00000378182,-45.79,0.00783077,0.00783077,76.9230769230769|80,33.3333333333333|32,13_49997132_49997666_R_ENST00000378182_1,IR
5:178205047-178205841,HNRNPAB,5:178205047-178205050,A5SS,2,2,-,Ex.ENST00000355836,-47.04,0.00896112,0.00896112,46.3768115942029|47.7011494252874,0|0,5_178205047_178205841_S_Ex.ENST00000355836_1,A5SS
