depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_5,lineage_6,lineage_4,CCNL2,CDK11A,CDK11B
ACH-001278,BIN67,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Small Cell Carcinoma of the Ovary,,,,7.2928309572,5.3641500018,5.3505697576
ACH-000245,BL41,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,B-cell Burkitt,,,6.1596724889,5.9889549802,5.6235016706
ACH-000402,BL70,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,B-cell Burkitt,,,6.6393133336,5.6530099429,5.8679060529
ACH-000160,BT12,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,,,,5.8162197519,4.3727543714,4.6043927493
ACH-001020,BT16,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,,,,6.0426471366,4.7883853582,5.2131279956
ACH-000818,BT483,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ERpos HER2neg,Luminal,,5.933438246,3.8151133137,4.000185989
ACH-001454,C10,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,6.5287510747,4.6255685147,4.9430261438
ACH-001456,C125PM,Bowel,Colorectal Adenocarcinoma,Colorectal Adenocarcinoma,,,,5.2300721784,3.9426568749,3.7597519376
ACH-001818,C396,Bone,Osteosarcoma,Osteosarcoma,,,,6.197117304,4.4859008414,4.8833549982
ACH-001335,C4II,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,,,,6.749066038,4.9116465598,5.311286949
ACH-001460,C84,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,5.8004565166,3.8280928038,4.1926331779
ACH-001461,C99,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,,,,5.5354405053,3.9873939179,4.0946012204
ACH-000857,CAL851,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ERneg HER2neg,Basal A,,4.475131067,3.9319874653,4.1491617702
ACH-001022,CBAGPN,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,7.9548910739,5.5751982161,5.4896287682
ACH-002647,CCC5,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Cholangiocarcinoma,,,,5.2242519025,4.2366369598,4.9185250916
ACH-000963,CCK81,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,MSI,,6.6026317142,5.743075433,6.1071772793
ACH-001163,CCLFPEDS0001T,Kidney,Renal Cell Carcinoma,Renal Medullary Carcinoma,Renal Medullary Carcinoma,,,5.9107388365,4.4508306585,5.5200271252
ACH-001164,CCLFPEDS0003T,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,,,,5.8686951882,4.3921372341,4.289740641
ACH-002446,CCLFUPGI0005T,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,,,,7.0611219013,5.8851166998,5.5043343886
ACH-001959,CCLP1,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Intrahepatic,,,5.9562789674,4.8538054075,5.6972847319
ACH-001960,CCSW1,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Intrahepatic,,,6.8717212463,4.5183341442,4.8466449035
ACH-000025,CH157MN,CNS/Brain,Meningothelial Tumor,Meningioma,,,,6.3078057358,4.8846431409,5.003749425
ACH-001041,CHL1DM,Skin,Melanoma,Melanoma,,,,7.8685424837,5.6222419435,5.4641052251
ACH-001028,CHLA06ATRT,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,,,,6.2568156747,4.1819456143,3.6282614109
ACH-001029,CHLA10,Bone,Ewing Sarcoma,Ewing Sarcoma,,EWS_FLI,,7.5543814181,5.7723321253,5.2301370561
ACH-001030,CHLA218,Bone,Ewing Sarcoma,Ewing Sarcoma,,,,6.1467073908,5.0911792818,5.3531492653
ACH-001031,CHLA266,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,,,,6.5066647523,4.7634432616,5.112569323
ACH-001032,CHLA32,Bone,Ewing Sarcoma,Ewing Sarcoma,,EWS_FLI,,5.9983336386,4.5916006372,4.6723973575
ACH-001033,CHLA57,CNS/Brain,Embryonal Tumor,Primitive Neuroectodermal Tumor,,,,5.366340685,4.8764540417,5.1130805723
ACH-001034,CHLA9,Bone,Ewing Sarcoma,Ewing Sarcoma,,EWS_FLI,,6.3292473637,5.1643528899,5.2310758832
ACH-001481,CHLA90,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,,,5.8033910018,4.6351154747,4.4400084546
ACH-001035,CHLA99,Bone,Ewing Sarcoma,Ewing Sarcoma,,EWS_FLI,,6.3388166249,4.7254953438,5.3205534904
ACH-000136,CHP126,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,MYCN Amp,,5.5230591574,3.5922546234,4.3246476874
ACH-001338,CHP134,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,MYCN Amp,,5.3309717728,3.5497195179,4.651842863
ACH-001484,CI,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,B-cell,,,5.3153456477,4.9890807602,5.0476593303
ACH-002996,CI34601,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,,,,4.8788696152,4.1131823795,4.3505821047
ACH-001485,CII,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,B-cell,,,4.7267372887,4.0603814241,4.5216370854
ACH-000342,CL14,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,5.7274259473,5.8341888763,5.4351891859
ACH-000798,CL40,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,4.1307620985,4.0071892869,4.6573701785
ACH-001322,CME1,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,,,,6.6435891971,5.464811597,5.0945551811
ACH-000641,CMK,Myeloid,Acute Myeloid Leukemia,Myeloid Leukemia Associated with Down Syndrome,M7,,,7.1777485987,6.9595208242,6.107560107
ACH-001036,CMK115,Myeloid,Acute Myeloid Leukemia,Myeloid Leukemia Associated with Down Syndrome,,,,5.5579538631,5.6116789914,5.6658017345
ACH-001289,COGAR359,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,,,,6.3445230739,4.6335290939,4.8291734005
ACH-001038,COGE352,Bone,Ewing Sarcoma,Ewing Sarcoma,,EWS_ERG,,7.3038571099,6.0085338402,5.8900138772
ACH-000253,COLO201,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,7.0045133131,5.4405813312,5.9938223738
ACH-000864,COLO684,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,,,,5.3163282537,4.2075131003,5.1911740863
ACH-001339,COLO794,Skin,Melanoma,Cutaneous Melanoma,,,,5.8979006546,4.828709407,4.901945932
ACH-001820,COLO824,Breast,"Breast Neoplasm, NOS","Breast Neoplasm, NOS",,,,5.8917728912,3.9018854569,4.5565068352
ACH-000382,CORL24,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,6.8245162107,4.5633632827,4.4935214741
ACH-000187,CORL311,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,6.115455475,5.1901273481,5.2169096897
ACH-000695,CORL47,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,5.9554045494,3.8660718124,5.2994877701
ACH-000743,CORL95,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,5.618504021,4.3358140408,5.314286663
ACH-001340,COV413A,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,,,,5.7360186926,4.1650871425,4.4474815134
ACH-001048,COV504,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,High Grade Serous,,,6.2404175975,4.9212582926,5.2230754147
ACH-001737,CTV1DM,Lymphoid,Mature T and NK Neoplasms,Adult T-Cell Leukemia/Lymphoma,T-cell,,,7.658683155,6.1726931533,5.847451952
ACH-001050,CW9019,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,Alveolar,,,5.8893817028,3.8324638763,5.0325697357
ACH-001053,D425,CNS/Brain,Embryonal Tumor,Medulloblastoma,Med Group 3,MYC Amp,,6.9404623231,5.4439077375,4.6280745859
ACH-001054,D458,CNS/Brain,Embryonal Tumor,Medulloblastoma,Med Group 3,MYC Amp,,5.1941377034,4.2193806206,4.5145561136
ACH-001057,DERL2,Lymphoid,Mature T and NK Neoplasms,Hepatosplenic T-cell Lymphoma,T-cell,,,5.4600507838,4.9621201774,4.7662195461
ACH-001059,DL,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,,,,7.6034890537,4.8470695385,4.9924349023
ACH-001060,DL40,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Negative,T-cell,,,5.1778950094,4.9288976874,5.8540400563
ACH-000742,DM3,Fibroblast,Non-Cancerous,"Fibroblast, Lung",,,,5.2833946747,3.5145558201,3.7856527322
ACH-000594,DMS153,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,8.4089428675,5.9744558828,6.3053952467
ACH-000844,DMS454,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,7.7714440516,6.0351932575,5.9894755579
ACH-001997,ECC2,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,Extrahepatic,,,6.4416884127,5.0343921665,5.2474027758
ACH-000038,EHEB,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,B-cell,,,6.2587422163,5.5371564647,4.8668116694
ACH-000706,EKVX,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,6.3267640691,4.4434841559,4.4524901691
ACH-000585,EPLC272H,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NSCLC Squamous,,,5.5544940563,4.1411163686,4.3920877856
ACH-001496,ESO26,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Adenocarcinoma of the Gastroesophageal Junction,,,,6.9994528295,4.9866523881,5.2136033121
ACH-001497,ESO51,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,,,,5.9389853851,4.0762023464,4.4623072763
ACH-002650,ETCC016,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,6.1693034716,4.1864051403,5.2145534543
ACH-000499,EW8,Bone,Ewing Sarcoma,Ewing Sarcoma,,EWS_FLI,,6.4637660055,5.448722837,5.096831957
ACH-000279,EWS502,Bone,Ewing Sarcoma,Ewing Sarcoma,,EWS_FLI,,7.6192350954,5.6019657076,5.4773998041
ACH-000487,F36P,Myeloid,Myelodysplastic Syndromes,Myelodysplastic Syndromes,M6,,,5.7800992292,4.3315863857,5.0911352438
ACH-001067,F5,CNS/Brain,Meningothelial Tumor,Meningioma,,,,6.0492804787,5.174408058,4.9453370428
ACH-001068,FEPD,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Negative,T-cell,,,6.2588503305,4.4859008414,4.2559066377
ACH-000633,FU97,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,Diffuse Gastric,,,6.3427029743,4.7003159504,4.662971701
ACH-000574,FUOV1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,High Grade Serous,,,5.8844327089,4.5716486377,4.9469664957
ACH-001961,GB2,Biliary Tract,Intracholecystic Papillary Neoplasm,"Gallbladder Adenocarcinoma, NOS",,,,4.9382539035,4.0193492727,4.631702267
ACH-000102,GMS10,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,6.2009954488,4.6476943141,5.3823930795
ACH-001508,H314,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Oral,,,6.5324283313,5.0599324346,4.5153446854
ACH-001310,HA1E,Kidney,Non-Cancerous,Immortalized Embyonic Kidney Cells,,,,6.8814686583,5.3926156965,5.7517542678
ACH-002475,HAP1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",,BCR-ABL1 positive,,5.5313445071,4.743875515,5.2876193884
ACH-001736,HB1119,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,B-cell,,,6.1248261445,5.0160969873,4.8983671847
ACH-000578,HCC1171,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,6.692236072,4.5318846075,5.0781408804
ACH-000712,HCC1833,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,6.2445834532,5.1623732595,5.6037236284
ACH-000725,HCC202,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,ERneg HER2pos,HER2 Amp,,5.7571284772,4.6023225555,5.0735272407
ACH-000755,HCC2218,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,ERneg HER2pos,HER2 Amp,,4.4078767913,3.4117668415,3.1425458314
ACH-000731,HCC2279,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,NSCLC Adenocarcinoma,,,4.6242591528,4.2022541295,4.7144179287
ACH-000143,HCC2429,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,,,,7.2815945259,5.2782963222,4.9395525214
ACH-000975,HCC2450,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NSCLC Squamous,,,7.0797916073,5.2913903966,4.9185250916
ACH-000690,HCC2814,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NSCLC Squamous,,,5.1966724953,4.4975728058,4.9035493958
ACH-000575,HCC364,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,5.8449625085,5.0516518765,5.2728073659
ACH-000840,HCC366,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,NSCLC Adenosquamous,,,6.017825619,5.1581660844,5.3776981603
ACH-000339,HCC461,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,6.3437909897,4.8519297158,5.4483978004
ACH-000872,HCC515,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,6.307646797,4.2354724619,4.360000232
ACH-000668,HCC70,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ERneg HER2neg,Basal A,,6.9581946203,4.7887948498,5.5000833541
ACH-000029,HCC827GR5,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,6.938697264,4.5252433603,4.4198801026
ACH-000267,HDLM2,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,,,,5.5870708051,5.2468116747,5.096452858
ACH-000049,HEKTE,Kidney,Non-Cancerous,Immortalized Embyonic Kidney Cells,,,,6.4382009898,4.8437480897,5.1194018985
ACH-001086,HELA,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,,,,6.7995086994,5.1176061216,5.4594144648
ACH-001519,HEMCSS,Bone,Chondrosarcoma,Extraskeletal Myxoid Chondrosarcoma,,,,6.8637742022,5.1547558848,4.732284909
ACH-000542,HEYA8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,Low Grade Serous,,,5.8079734471,4.1120474844,4.5217485674
ACH-001520,HG3,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,B-cell,,,6.5419791614,5.6988837386,4.4802139224
ACH-001852,HKGZCC,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Intrahepatic,,,5.5957492506,4.0603814241,4.3968790321
ACH-000797,HLFA,Fibroblast,Non-Cancerous,"Fibroblast, Lung",,,,6.103212851,4.9026098559,4.9005225321
ACH-000642,HMEL,Breast,Non-Cancerous,Immortalized Breast Cells,,,,7.9803322197,5.2642642715,4.9198737213
ACH-002040,HMVII,Vulva/Vagina,Mucosal Melanoma of the Vulva/Vagina,Mucosal Melanoma of the Vulva/Vagina,,,,5.1995051814,4.3622709771,4.45573771
ACH-000299,HNT34,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,M4,,,6.3593792308,4.7770416041,4.9031367878
ACH-000861,HOP62,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,6.6744113156,5.0115884776,5.1279632059
ACH-000825,HOP92,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,,,,6.1363020525,4.0767007509,4.379828662
ACH-000088,HS172T,Fibroblast,Non-Cancerous,"Fibroblast, Urinary Tract",,,,6.6305138753,4.0500045418,4.189608581
ACH-000131,HS229T,Fibroblast,Non-Cancerous,"Fibroblast, Lung",,,,5.9609478976,4.527106064,4.7923438286
ACH-000199,HS255T,Fibroblast,Non-Cancerous,"Fibroblast, Colorectal",,,,6.8821585619,4.6043456388,4.6471309213
ACH-000083,HS281T,Fibroblast,Non-Cancerous,"Fibroblast, Breast",,,,5.8941491856,4.4485325346,4.8020912829
ACH-000184,HS343T,Fibroblast,Non-Cancerous,"Fibroblast, Breast",,,,5.6519703752,4.1238805177,4.9850629582
ACH-000148,HS578T,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",ERneg HER2neg,Basal B,,6.5155104554,5.0658946341,5.1223853685
ACH-000240,HS600T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",,,,6.1739121614,4.0838361679,4.8668116694
ACH-000540,HS606T,Fibroblast,Non-Cancerous,"Fibroblast, Breast",,,,6.4723883287,5.0707366756,4.777836293
ACH-000539,HS618T,Fibroblast,Non-Cancerous,"Fibroblast, Lung",,,,6.4374686779,4.6457281546,4.746947279
ACH-000214,HS675T,Fibroblast,Non-Cancerous,"Fibroblast, Colorectal",,,,6.7423672484,4.5664755863,4.591113303
ACH-000413,HS739T,Fibroblast,Non-Cancerous,"Fibroblast, Breast",,,,6.9317838269,4.741509113,4.7900135071
ACH-000616,HS746T,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,,,,6.8591717042,4.9215977964,3.8362854689
ACH-000165,HS751T,Fibroblast,Non-Cancerous,Fibroblast,,,,6.4292436815,4.5706154351,4.9198737213
ACH-000224,HS819T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",,,,6.8122931014,4.2559506299,4.6791474444
ACH-000229,HS822T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",,,,6.4672205423,4.1280349833,4.4454414435
ACH-000275,HS834T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",,,,6.1933286785,4.391474744,4.6956454381
ACH-000284,HS840T,Fibroblast,Non-Cancerous,"Fibroblast, Upper Aerodigestive",,,,6.2025243809,4.6154247146,4.8440530986
ACH-001712,HS860T,Bone,Osteosarcoma,Osteosarcoma,,,,6.8115775687,4.6947875478,5.1608051929
ACH-000194,HS934T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",,,,6.1608930568,4.5461307483,4.8979231381
ACH-000801,HS936T,Skin,Melanoma,Melanoma,,,,5.6022461493,4.9564729471,5.2339364689
ACH-000546,HSC4,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,,,,6.974690607,4.2173248906,3.9793538869
ACH-002069,HSOS1,Bone,Osteosarcoma,Osteosarcoma,,,,5.9036604229,4.4956265492,5.191084494
ACH-002458,HT144SKINFV1,Skin,Melanoma,Melanoma,,,,6.1083024749,5.0849887063,4.9516721278
ACH-002460,HT144SKINFV2,Skin,Melanoma,Melanoma,,,,6.118299871,5.0719503545,4.9337436441
ACH-002459,HT144SKINFV3,Skin,Melanoma,Melanoma,,,,6.591780024,5.3485290975,4.7071324834
ACH-000829,HUNS1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,,,,5.8377185695,5.3030543235,5.2074431457
ACH-000612,HUT102,Lymphoid,Mature T and NK Neoplasms,Mycosis Fungoides,T-cell,,,6.262998093,5.472603462,4.9095846029
ACH-000538,HUTU80,Bowel,Small Bowel Cancer,Duodenal Adenocarcinoma,,,,7.5237726539,5.7141297994,5.4718212285
ACH-001834,ICC10,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Intrahepatic,,,7.0212691027,2.885045874,5.5516311609
ACH-001835,ICC106,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Intrahepatic,,,6.1436447699,2.9144958269,4.9037318304
ACH-001836,ICC108,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Intrahepatic,,,7.1848379385,3.3581468665,5.5234481097
