Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
19:38264999-38283626,SPINT2,19:38264999-38265013,A5SS,2,2,-,Ex.TSS.ENST00000301244,22.86,0.00606286,0.00606286,0|0,22.6415094339623|23.0769230769231,19_38264999_38283626_S_Ex.TSS.ENST00000301244_1,A5SS
19:38264724-38283626,SPINT2,19:38264724-38265013,A5SS,2,2,-,Ex.TSS.ENST00000587090,22.86,0.00606286,0.00606286,0|0,22.6415094339623|23.0769230769231,19_38264724_38283626_S_Ex.TSS.ENST00000587090_1,A5SS
19:38244135-38283626,SPINT2,19:38244135-38265013,A5SS,2,2,-,Ex.TSS.ENST00000590510,22.86,0.00606286,0.00606286,0|0,22.6415094339623|23.0769230769231,19_38244135_38283626_S_Ex.TSS.ENST00000590510_1,A5SS
12:47782722-47783886,HDAC7,12:47784218-47783799,IR,2,2,-,ENST00000080059,22.71,0.0099558,0.0099558,68.1818181818182|71.4285714285714,94.1176470588235|90.9090909090909,12_47784218_47783799_R_ENST00000080059_1,IR
6:33321240-33321567,DAXX,6:33322931-33320379,IR (overlapping region),2,2,-,ENST00000446403,21.68,0.00691928,0.00691928,23.5294117647059|21.4285714285714,42.8571428571429|45.4545454545455,6_33322931_33320379_R_ENST00000446403_1,IR
2:47369810-47373462,EPCAM,2:47369810-47370873,A5SS,2,2,-,Ex.TSS.ENST00000419334,20.71,0.00689142,0.00689142,0|0,20.9302325581395|20.4819277108434,2_47369810_47373462_S_Ex.TSS.ENST00000419334_1,A5SS
2:47369582-47373462,EPCAM,2:47369582-47370873,A5SS,2,2,-,Ex.TSS.ENST00000263735,20.71,0.00689142,0.00689142,0|0,20.9302325581395|20.4819277108434,2_47369582_47373462_S_Ex.TSS.ENST00000263735_1,A5SS
2:47369236-47373462,EPCAM,2:47369236-47370873,A5SS,2,2,-,Ex.ENST00000405271,20.71,0.00689142,0.00689142,0|0,20.9302325581395|20.4819277108434,2_47369236_47373462_S_Ex.ENST00000405271_1,A5SS
11:2390527-2394094,CD81,11:2394065-2394095,A3SS,2,2,-,Ex.ENST00000263645,20.64,0.00156417,0.00156417,0|0,20.6896551724138|20.5882352941176,11_2390527_2394094_S_Ex.ENST00000263645_1,A3SS
11:114439676-114449845,REXO2,11:114440656-114440739,SES,2,2,-,ENST00000539275,-20.74,0.00932404,0.00932404,33.3333333333333|31.3725490196078,12.1212121212121|11.1111111111111,11_114439676_114449845_W_ENST00000539275_1,Exon Skipping
11:114440740-114445978,REXO2,11:114443856-114443933,SES,2,2,NMD,ENST00000541703,-21.89,0.00962093,0.00962093,47.6744186046512|44.6153846153846,23.0769230769231|25.4237288135593,11_114440740_114445978_W_ENST00000541703_1,Exon Skipping
17:74772903-74773039,NAT9,17:74773040-74772441,IR,2,2,-,ENST00000578947,-23.03,0.00837609,0.00837609,73.3333333333333|72.7272727272727,50|50,17_74773040_74772441_R_ENST00000578947_1,IR
17:74772275-74772395,NAT9,17:74773040-74772174,IR,2,2,-,ENST00000577428,-23.54,0.000789776,0.000789776,77.7777777777778|76.9230769230769,53.3333333333333|54.2857142857143,17_74773040_74772174_R_ENST00000577428_1,IR
8:11802932-11809791,FDFT1,8:11809667-11809791,TSS|A3SS,2,2,-,TSS.ENST00000529464,-24.99,0.00336037,0.00336037,30|28.5714285714286,5.26315789473684|3.33333333333333,8_11802932_11809791_S_TSS.ENST00000529464_1,A3SS
1:1703088-1703940,CDK11A,1:1703941-1703603,IR (overlapping region),2,2,-,ENST00000478901,-25.24,0.00503624,0.00503624,66.6666666666667|69.2307692307692,41.6666666666667|43.75,1_1703941_1703603_R_ENST00000478901_1,IR
19:58555712-58556229,UBE2M,19:58556380-58555711,IR,2,2,-,ENST00000253023,-25.68,0.00558066,0.00558066,84.6153846153846|81.8181818181818,56.25|58.8235294117647,19_58556380_58555711_R_ENST00000253023_1,IR
11:64851642-64854857,EHD1,11:64855487-64852730,IR,2,2,-,ENST00000320631,-26.07,0.00685486,0.00685486,50|52.9411764705882,26.4705882352941|24.3243243243243,11_64855487_64852730_R_ENST00000320631_1,IR
11:64851642-64854857,EHD1,11:64855487-64852726,IR,2,2,-,ENST00000320631,-26.07,0.00685486,0.00685486,50|52.9411764705882,26.4705882352941|24.3243243243243,11_64855487_64852726_R_ENST00000320631_1,IR
1:109236231-109237373,SARS,1:109236549-109236804,IR,2,2,-,ENST00000468588,-26.41,0.00506339,0.00506339,35.2941176470588|35.7142857142857,9.09090909090909|9.09090909090909,1_109236549_109236804_R_ENST00000468588_1,IR
1:51789191-51789433,NRDC,1:51789658-51789211,IR (overlapping region),2,2,-,ENST00000352171,-27.21,0.00406075,0.00406075,91.6666666666667|94.1176470588235,64.7058823529412|66.6666666666667,1_51789658_51789211_R_ENST00000352171_1,IR
1:51789191-51789433,NRDC,1:51789658-51789195,IR (overlapping region),2,2,-,ENST00000352171,-27.21,0.00406075,0.00406075,91.6666666666667|94.1176470588235,64.7058823529412|66.6666666666667,1_51789658_51789195_R_ENST00000352171_1,IR
X:48897938-48898576,PQBP1,X:48898094-48898491,IR (overlapping region),2,2,-,ENST00000473764,-30.48,0.00667219,0.00667219,46.6666666666667|50,16.6666666666667|19.047619047619,X_48898094_48898491_R_ENST00000473764_1,IR
15:75336063-75340266,COMMD4,15:75339105-75339263,IR,2,2,-,ENST00000564068,-33.04,0.00209133,0.00209133,65|66.6666666666667,33.3333333333333|32.258064516129,15_75339105_75339263_R_ENST00000564068_1,IR
6:34240916-34243467,HMGA1,6:34242712-34242795,SES,2,2,-,ENST00000311487,-33.63,0.00677221,0.00677221,94.5578231292517|97.6470588235294,60.5095541401274|64.4444444444444,6_34240916_34243467_W_ENST00000311487_1,Exon Skipping
20:63742528-63742790,SLC2A4RG,20:63742616-63742698,IR,2,2,-,ENST00000496425,-36.04,0.00573516,0.00573516,100|100,64.2857142857143|63.6363636363636,20_63742616_63742698_R_ENST00000496425_1,IR
19:13118455-13135199,NACC1,19:13118455-13118725,A5SS,2,2,-,Ex.TSS.ENST00000292431,-36.04,0.00573516,0.00573516,35.7142857142857|36.3636363636364,0|0,19_13118455_13135199_S_Ex.TSS.ENST00000292431_1,A5SS
19:13118132-13135199,NACC1,19:13118132-13118725,A5SS,2,2,-,Ex.ENST00000586171,-36.04,0.00573516,0.00573516,35.7142857142857|36.3636363636364,0|0,19_13118132_13135199_S_Ex.ENST00000586171_1,A5SS
1:112704640-112705168,RHOC,1:112707404-112705099,IR (overlapping region),2,2,-,ENST00000527563,-36.74,0.00964316,0.00964316,36.3636363636364|41.6666666666667,4.54545454545455|0,1_112707404_112705099_R_ENST00000527563_1,IR
19:1440254-1440348,RPS15,19:1440327-1440349,A3SS,2,2,-,Ex.TSS.ENST00000233609,-44.03,0.00567595,0.00567595,43.6363636363636|44.4214876033058,0|0,19_1440254_1440348_S_Ex.TSS.ENST00000233609_1,A3SS
11:65112739-65113594,TM7SF2,11:65112866-65113368,IR,2,2,-,ENST00000527851,-47.64,0.0055199,0.0055199,79.1666666666667|75,28.125|30.7692307692308,11_65112866_65113368_R_ENST00000527851_1,IR
16:75242615-75243090,BCAR1,16:75242703-75237182,IR,2,2,-,ENST00000564028,-62.66,0.00764423,0.00764423,85|89.4736842105263,28|21.1538461538462,16_75242703_75237182_R_ENST00000564028_1,IR
