Event Region,Gene Symbol,Target Exon,Event Type,N,T,Exon Type,Reference Transcript,ΔPSI (%),T-test p-value,FDR (BH),N Values,T Values,Database ID,Grouped Event Type
12:57515920-57516337,MARS,12:57516159-57516244,IR,2,2,NMD,ENST00000545888,31.42,0.00488463,0.00488463,37.5|40.625,71.7391304347826|69.2307692307692,12_57516159_57516244_R_ENST00000545888_1,IR
20:2657081-2657449,NOP56,20:2657219-2657372,IR,2,2,-,ENST00000490753,30.6,0.00853806,0.00853806,24|27.7777777777778,55.1724137931034|57.8125,20_2657219_2657372_R_ENST00000490753_1,IR
16:4463743-4463850,NMRAL1,16:4466403-4463567,IR,2,2,NMD,ENST00000571291,30.22,0.00902633,0.00902633,21.7391304347826|25,54.5454545454545|52.6315789473684,16_4466403_4463567_R_ENST00000571291_1,IR
1:32331676-32332242,HDAC1,1:32331807-32332089,IR,2,2,-,ENST00000471488,29.86,0.000880286,0.000880286,13.0434782608696|11.7647058823529,41.6666666666667|42.8571428571429,1_32331807_32332089_R_ENST00000471488_1,IR
1:161176849-161178013,PPOX,1:161177107-161176433,IR (overlapping region),2,2,NMD,ENST00000495483,29.68,0.00927422,0.00927422,3.03030303030303|6.66666666666667,33.3333333333333|35.7142857142857,1_161177107_161176433_R_ENST00000495483_1,IR
17:7586692-7586961,MPDU1,17:7586778-7586898,IR,2,2,-,ENST00000578267,27.87,0.00763907,0.00763907,5.12820512820513|5.79710144927536,33.3333333333333|33.3333333333333,17_7586778_7586898_R_ENST00000578267_1,IR
11:65999898-66000161,EIF1AD,11:66000477-66000052,IR,2,2,-,ENST00000526449,24.64,0.00506583,0.00506583,52.9411764705882|53.3333333333333,77.7777777777778|77.7777777777778,11_66000477_66000052_R_ENST00000526449_1,IR
16:15104312-15104758,NPIPP1,16:15106151-15104329,IR (overlapping region),2,2,-,ENST00000534799,24.1,0.00320557,0.00320557,2.5|4.16666666666667,26.865671641791|28,16_15106151_15104329_R_ENST00000534799_1,IR
16:15104312-15104758,NPIPP1,16:15106151-15104311,IR (overlapping region),2,2,-,ENST00000534799,23.55,0.00490999,0.00490999,2.5|4.16666666666667,25.7575757575758|28,16_15106151_15104311_R_ENST00000534799_1,IR
12:120196707-120196934,RPLP0,12:120197809-120196701,IR,2,2,-,ENST00000228306,22.89,0.00115163,0.00115163,16.2162162162162|16.4835164835165,39.2857142857143|39.1891891891892,12_120197809_120196701_R_ENST00000228306_1,IR
17:7577827-7578244,EIF4A1,17:7577917-7578164,IR (overlapping region),2,2,-,ENST00000578324,22.63,0.00310033,0.00310033,41.340782122905|43.1506849315069,65.6370656370656|64.1129032258064,17_7577917_7578164_R_ENST00000578324_1,IR
5:131159027-131159611,HINT1,5:131162677-131159334,IR,2,2,-,ENST00000304043,21.65,0.00147484,0.00147484,26.1904761904762|25,47.8260869565217|46.6666666666667,5_131162677_131159334_R_ENST00000304043_1,IR
1:248855782-248855943,ZNF692,1:248855947-248855379,IR,2,2,-,ENST00000468455,20.53,0.00132312,0.00132312,73.0769230769231|72,92.5925925925926|93.5483870967742,1_248855947_248855379_R_ENST00000468455_1,IR
17:40396383-40396465,TOP2A,17:40396466-40395448,IR,2,2,-,ENST00000577706,20.06,0.000524069,0.000524069,7.14285714285714|6.66666666666667,26.6666666666667|27.2727272727273,17_40396466_40395448_R_ENST00000577706_1,IR
11:2390527-2394094,CD81,11:2394065-2394095,A3SS,2,2,-,Ex.ENST00000263645,-20.64,0.00156417,0.00156417,20.6896551724138|20.5882352941176,0|0,11_2390527_2394094_S_Ex.ENST00000263645_1,A3SS
X:40597345-40597528,ATP6AP2,X:40597527-40597528,A3SS,2,2,-,ENST00000378438,-20.69,0.00521372,0.00521372,84|85.7142857142857,64.7058823529412|63.6363636363636,X_40597345_40597528_S_ENST00000378438_1,A3SS
2:47369810-47373462,EPCAM,2:47369810-47370873,A5SS,2,2,-,Ex.TSS.ENST00000419334,-20.71,0.00689142,0.00689142,20.9302325581395|20.4819277108434,0|0,2_47369810_47373462_S_Ex.TSS.ENST00000419334_1,A5SS
2:47369582-47373462,EPCAM,2:47369582-47370873,A5SS,2,2,-,Ex.TSS.ENST00000263735,-20.71,0.00689142,0.00689142,20.9302325581395|20.4819277108434,0|0,2_47369582_47373462_S_Ex.TSS.ENST00000263735_1,A5SS
2:47369236-47373462,EPCAM,2:47369236-47370873,A5SS,2,2,-,Ex.ENST00000405271,-20.71,0.00689142,0.00689142,20.9302325581395|20.4819277108434,0|0,2_47369236_47373462_S_Ex.ENST00000405271_1,A5SS
14:20455240-20456101,APEX1,14:20455339-20455577,IR,2,2,-,ENST00000557159,-21.63,0.00856203,0.00856203,61.7021276595745|61.2244897959184,39.1891891891892|40.4761904761905,14_20455339_20455577_R_ENST00000557159_1,IR
9:36589653-36607574,MELK,9:36599394-36599486,SES,2,2,-,ENST00000489766,-22.54,0.000329751,0.000329751,58.6206896551724|58.974358974359,36.3636363636364|36.144578313253,9_36589653_36607574_W_ENST00000489766_1,Exon Skipping
17:17042972-17075709,MPRIP,17:17042972-17071027,A5SS,2,2,-,Ex.TSS.ENST00000341712,-28.76,0.00416085,0.00416085,28.5714285714286|28.9473684210526,0|0,17_17042972_17075709_S_Ex.TSS.ENST00000341712_2,A5SS
2:86492039-86492712,KDM3A,2:86492090-86492093,IR,2,2,-,ENST00000312912,-40.37,0.0057794,0.0057794,100|96.2962962962963,55.5555555555556|60,2_86492090_86492093_R_ENST00000312912_1,IR
X:41347419-41347639,DDX3X,X:41347419-41347451,A5SS,2,2,-,Ex.TSS.ENST00000399959,-40.45,0.00731903,0.00731903,78.2608695652174|83.3333333333333,38.0952380952381|42.5925925925926,X_41347419_41347639_S_Ex.TSS.ENST00000399959_1,A5SS
X:41347013-41347639,DDX3X,X:41347013-41347451,TSS|A5SS,2,2,-,TSS.ENST00000645574,-40.45,0.00731903,0.00731903,78.2608695652174|83.3333333333333,38.0952380952381|42.5925925925926,X_41347013_41347639_S_TSS.ENST00000645574_1,A5SS
11:67352459-67352802,POLD4,11:67353078-67352690,IR (overlapping region),2,2,-,ENST00000524743,-42.61,0.0079178,0.0079178,72.2222222222222|77.7777777777778,30|34.7826086956522,11_67353078_67352690_R_ENST00000524743_1,IR
